IO, 06, 2007111006,   , BEST,   0,  96N,  932E,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 
IO, 06, 2007111012,   , BEST,   0,  97N,  930E,  20, 1005, DB,   0,    ,    0,    0,    0,    0, 1008,  180,  45,   0,   0,   B,   0,    ,   0,   0,     INVEST, S, 
IO, 06, 2007111018,   , BEST,   0,  98N,  927E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  180,  45,   0,   0,   B,   0,    ,   0,   0,     INVEST, S, 
IO, 06, 2007111100,   , BEST,   0, 100N,  925E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1005,  190,  45,   0,   0,   B,   0,    ,   0,   0,     INVEST, S, 
IO, 06, 2007111106,   , BEST,   0, 101N,  922E,  35,  998, TS,   0,    ,    0,    0,    0,    0, 1007,  150,  25,   0,   0,   B,   0,    ,   0,   0,     NONAME, M, 
IO, 06, 2007111112,   , BEST,   0, 102N,  919E,  45,  989, TS,  34, NEQ,   30,   30,   30,   30, 1007,  150,  25,   0,   0,   B,   0,    ,   0,   0,     NONAME, M, 
IO, 06, 2007111118,   , BEST,   0, 103N,  914E,  50,  985, TS,  34, NEQ,   55,   55,   50,   55, 1005,  150,  25,   0,   0,   B,   0,    ,   0,   0,     NONAME, M, 
IO, 06, 2007111118,   , BEST,   0, 103N,  914E,  50,  985, TS,  50, NEQ,   20,   20,   20,   20, 1005,  150,  25,   0,   0,   B,   0,    ,   0,   0,     NONAME, M, 
IO, 06, 2007111200,   , BEST,   0, 104N,  908E,  60,  978, TS,  34, NEQ,   60,   55,   55,   60, 1005,  150,  25,   0,   0,   B,   0,    ,   0,   0,     NONAME, M, 
IO, 06, 2007111200,   , BEST,   0, 104N,  908E,  60,  978, TS,  50, NEQ,   30,   25,   25,   30, 1005,  150,  25,   0,   0,   B,   0,    ,   0,   0,     NONAME, M, 
IO, 06, 2007111206,   , BEST,   0, 107N,  904E,  70,  970, TY,  34, NEQ,   70,   65,   65,   70, 1005,  150,  25,   0,   0,   B,   0,    ,   0,   0,     NONAME, M, 
IO, 06, 2007111206,   , BEST,   0, 107N,  904E,  70,  970, TY,  50, NEQ,   40,   35,   35,   40, 1005,  150,  25,   0,   0,   B,   0,    ,   0,   0,     NONAME, M, 
IO, 06, 2007111206,   , BEST,   0, 107N,  904E,  70,  970, TY,  64, NEQ,   20,   20,   20,   20, 1005,  150,  25,   0,   0,   B,   0,    ,   0,   0,     NONAME, M, 
IO, 06, 2007111212,   , BEST,   0, 111N,  902E,  80,  963, TY,  34, NEQ,   85,   75,   80,   90, 1005,  150,  20,   0,   0,   B,   0,    ,   0,   0,       SIDR, D, 
IO, 06, 2007111212,   , BEST,   0, 111N,  902E,  80,  963, TY,  50, NEQ,   45,   40,   40,   45, 1005,  150,  20,   0,   0,   B,   0,    ,   0,   0,       SIDR, D, 
IO, 06, 2007111212,   , BEST,   0, 111N,  902E,  80,  963, TY,  64, NEQ,   25,   25,   25,   25, 1005,  150,  20,   0,   0,   B,   0,    ,   0,   0,       SIDR, D, 
IO, 06, 2007111218,   , BEST,   0, 116N,  900E, 105,  944, TY,  34, NEQ,  115,   80,   80,  130, 1005,  150,  15,   0,   0,   B,   0,    ,   0,   0,       SIDR, D, 
IO, 06, 2007111218,   , BEST,   0, 116N,  900E, 105,  944, TY,  50, NEQ,   55,   50,   50,   55, 1005,  150,  15,   0,   0,   B,   0,    ,   0,   0,       SIDR, D, 
IO, 06, 2007111218,   , BEST,   0, 116N,  900E, 105,  944, TY,  64, NEQ,   30,   30,   30,   30, 1005,  150,  15,   0,   0,   B,   0,    ,   0,   0,       SIDR, D, 
IO, 06, 2007111300,   , BEST,   0, 120N,  899E, 110,  941, TY,  34, NEQ,  110,  100,   85,  120, 1005,  180,  15,   0,  10,   B,   0,    ,   0,   0,       SIDR, D, 
IO, 06, 2007111300,   , BEST,   0, 120N,  899E, 110,  941, TY,  50, NEQ,   65,   65,   60,   70, 1005,  180,  15,   0,  10,   B,   0,    ,   0,   0,       SIDR, D, 
IO, 06, 2007111300,   , BEST,   0, 120N,  899E, 110,  941, TY,  64, NEQ,   50,   50,   45,   50, 1005,  180,  15,   0,  10,   B,   0,    ,   0,   0,       SIDR, D, 
IO, 06, 2007111306,   , BEST,   0, 125N,  898E, 115,  937, TY,  34, NEQ,  110,   95,   95,  120, 1006,  210,  10,   0,  10,   B,   0,    ,   0,   0,       SIDR, D, 
IO, 06, 2007111306,   , BEST,   0, 125N,  898E, 115,  937, TY,  50, NEQ,   70,   65,   65,   70, 1006,  210,  10,   0,  10,   B,   0,    ,   0,   0,       SIDR, D, 
IO, 06, 2007111306,   , BEST,   0, 125N,  898E, 115,  937, TY,  64, NEQ,   50,   50,   50,   50, 1006,  210,  10,   0,  10,   B,   0,    ,   0,   0,       SIDR, D, 
IO, 06, 2007111312,   , BEST,   0, 130N,  896E, 115,  937, TY,  34, NEQ,  110,   95,   95,  120, 1006,  210,  10,   0,  10,   B,   0,    ,   0,   0,       SIDR, D, 
IO, 06, 2007111312,   , BEST,   0, 130N,  896E, 115,  937, TY,  50, NEQ,   70,   65,   65,   70, 1006,  210,  10,   0,  10,   B,   0,    ,   0,   0,       SIDR, D, 
IO, 06, 2007111312,   , BEST,   0, 130N,  896E, 115,  937, TY,  64, NEQ,   50,   50,   50,   50, 1006,  210,  10,   0,  10,   B,   0,    ,   0,   0,       SIDR, D, 
